기준연월|고객행정구역분류시도코드|고객행정구역분류시군구코드|고객행정구역분류코드|고객법정동코드|고객행정구역분류시도명|고객행정구역분류시군구명|고객행정구역분류명|고객법정동명|통합카드아파트단지코드|통합카드아파트단지명|연평균소득금액|통합카드성별코드|통합카드10세단위연령코드|영화관심비율|건강관심비율|게임관심비율|골프관심비율|독서관심비율|레저관심비율|뷰티관심비율|쇼핑관심비율|애완동물관심비율|여행관심비율|예술관심비율|온라인쇼핑관심비율|육아관심비율|식도락관심비율|자동차관심비율
202410|27|44130|11110000|2711000000|부산|강남구|서초동|서초1동|NH5805|래미안|2124|2|6|0.015|0.034|0.06|0.091|0.006|0.057|0.027|0.174|0.079|0.022|0.056|0.015|0.05|0.047|0.265
202410|44|47110|44130000|4113000000|인천|강남구|서초동|역삼1동|NH8393|힐스테이트|17667|1|5|0.067|0.043|0.064|0.034|0.015|0.011|0.03|0.023|0.065|0.107|0.097|0.093|0.008|0.271|0.073
202410|44|26110|41110000|1117000000|부산|성남시|서초동|서초1동|NH1013|래미안|8330|x|5|0.043|0.027|0.171|0.221|0.106|0.12|0.022|0.012|0.006|0.04|0.021|0.094|0.008|0.071|0.038
202410|41|26140|42110000|4211000000|부산|강남구|서초동|서초1동|NH3125|힐스테이트|5946|1|2|0.035|0.122|0.04|0.035|0.069|0.022|0.004|0.044|0.146|0.022|0.087|0.059|0.178|0.071|0.065
202410|44|41110|45110000|1120000000|부산|서초구|인계동|역삼1동|NH5745|푸르지오|19527|1|4|0.0|0.091|0.033|0.249|0.118|0.024|0.069|0.03|0.012|0.002|0.078|0.09|0.033|0.07|0.1
202410|41|11170|44130000|4311000000|부산|강남구|인계동|역삼1동|NH3000|푸르지오|18580|1|6|0.035|0.069|0.023|0.041|0.026|0.026|0.092|0.101|0.096|0.012|0.021|0.286|0.072|0.089|0.013
202410|44|42110|43110000|4711000000|경기|서초구|역삼동|역삼1동|NH1788|래미안|17812|1|2|0.076|0.075|0.131|0.02|0.188|0.029|0.041|0.214|0.008|0.046|0.042|0.052|0.01|0.047|0.021
202410|45|11140|47110000|4111000000|인천|서초구|역삼동|역삼1동|NH6750|푸르지오|18749|x|5|0.032|0.041|0.057|0.029|0.14|0.055|0.046|0.174|0.003|0.088|0.029|0.019|0.076|0.159|0.053
202410|26|43110|45110000|4211000000|서울|수원시|인계동|역삼1동|NH8422|힐스테이트|12288|1|2|0.03|0.005|0.058|0.089|0.227|0.242|0.015|0.034|0.017|0.052|0.107|0.018|0.008|0.004|0.095
202410|42|41130|41130000|4511000000|인천|서초구|인계동|역삼1동|NH9667|자이|5975|1|6|0.02|0.03|0.02|0.051|0.002|0.359|0.15|0.043|0.095|0.024|0.129|0.019|0.019|0.018|0.02
202410|27|26140|26140000|4311000000|경기|서초구|서초동|서초1동|NH3132|자이|10928|2|5|0.013|0.016|0.011|0.044|0.029|0.122|0.151|0.192|0.038|0.002|0.028|0.062|0.0|0.237|0.055
202410|27|11110|26140000|4211000000|부산|성남시|인계동|서초1동|NH3474|푸르지오|14507|2|4|0.088|0.021|0.009|0.078|0.057|0.09|0.066|0.045|0.001|0.016|0.024|0.215|0.053|0.007|0.231
202410|43|41150|11140000|1117000000|인천|수원시|서초동|역삼1동|NH3579|힐스테이트|13945|2|3|0.083|0.069|0.044|0.123|0.023|0.175|0.016|0.131|0.163|0.011|0.076|0.045|0.035|0.001|0.005
202410|46|11170|26140000|4311000000|경기|강남구|역삼동|역삼1동|NH2330|래미안|12092|1|5|0.001|0.003|0.071|0.13|0.035|0.02|0.099|0.068|0.088|0.085|0.2|0.037|0.044|0.003|0.118
202410|46|11200|45110000|4211000000|부산|성남시|인계동|역삼1동|NH7102|힐스테이트|15474|1|4|0.029|0.09|0.034|0.15|0.038|0.049|0.005|0.017|0.031|0.012|0.139|0.116|0.012|0.074|0.204
202410|11|11170|11110000|2611000000|서울|서초구|서초동|역삼1동|NH3743|힐스테이트|12336|2|2|0.028|0.058|0.005|0.096|0.132|0.009|0.055|0.009|0.052|0.057|0.027|0.041|0.375|0.032|0.023
202410|41|27110|47110000|4413000000|경기|성남시|인계동|역삼1동|NH5517|힐스테이트|15631|2|5|0.026|0.016|0.111|0.003|0.061|0.124|0.22|0.086|0.049|0.003|0.03|0.043|0.152|0.019|0.056
202410|47|41110|41110000|2711000000|부산|강남구|서초동|서초1동|NH6721|푸르지오|11753|1|4|0.017|0.052|0.061|0.084|0.073|0.103|0.025|0.031|0.073|0.053|0.1|0.056|0.029|0.227|0.015
202410|27|46110|47110000|2614000000|부산|성남시|인계동|서초1동|NH7728|자이|13808|2|6|0.019|0.179|0.089|0.05|0.11|0.029|0.062|0.007|0.077|0.004|0.052|0.06|0.023|0.195|0.042
