기준년월|구분명|광역시도코드|시군구코드(개정후)|행정구역분류코드(개정후)|광역시도명|시군구명(개정후)|행정구역분류명(개정후)|법정동코드|법정동명|성별|연령구간대|직업구분|금융기관|분위코드(총대출잔액기준)|총대출_보유계좌수|유효대출계좌_대상자수|대출잔액_보유대상자수|대출잔액_최저금액|대출잔액_최대금액|대출잔액_평균금액|대출잔액_주택담보_평균금액|대출잔액_신용_평균금액|대출잔액_기타_평균금액|대출잔액_중위금액|대출잔액_주택담보_중위금액|대출잔액_신용_중위금액|총대출잔액|총대출잔액_주택담보|총대출잔액_신용|총대출잔액_기타|신규대출_약정금액합(당월)|신규대출_주택담보약정금액합(당월)|신규대출_신용약정금액합(당월)|신규대출_기타약정금액합(당월)|일시불상환_대출보유대상자수|분할상환_대출보유대상자수|한도대출_보유대상자수|기타대출_보유대상자수|대출잔액합_일시불|대출잔액합_분할상환|대출잔액합_한도|대출잔액합_기타|대출평균이자율|월 연체보유자수 합계|월평균연체건수|평균연체일|평균연체금액|중위연체금액|연체금액
202405|ADM|47|26110|47110000|경기|강남구|서초동|2711000000|서초1동|2|60|2|2|7|702|4|4|175|34411|32063.0|10509.0|8732.0|12822.0|24486|8118|7089|128252.0|42036.0|34928.0|51288.0|417412|1794660|457722|270225|1|1|0|0|5619269|335112|2112223|214350|2.29|0|4.02|160|0|404|0.0
202405|CNTY_GU|43|28110|27110000|대구|성남시|인계동|4413000000|역삼1가|2|50|0|1|4|152|387|387|582|67504|17553.0|5311.0|5354.0|6888.0|16730|4309|5311|6793011.0|2055357.0|2071998.0|2665656.0|4535300|2110415|629333|308280|48|194|43|28|5884975|2336897|3361015|1767393|5.67|57|1.51|15|144|294|8208.0
202405|ADM|44|41130|11200000|부산|강남구|서초동|1117000000|서초1동|2|55|1|1|7|916|480|480|90|42650|40497.0|14529.0|7469.0|18499.0|38809|14460|5856|19438560.0|6973920.0|3585120.0|8879520.0|4868689|2782650|782926|409738|93|197|75|28|4465932|9860992|1915111|729893|5.56|51|2.76|81|322|407|16422.0
202405|CNTY_GU|11|28110|27110000|부산|강남구|역삼동|4413000000|인계동|1|45|0|1|3|1992|60|60|510|29363|37169.0|18010.0|14542.0|4617.0|27997|14045|14194|2230140.0|1080600.0|872520.0|277020.0|349299|1532731|958793|491770|9|35|17|0|5981346|12627569|850195|1697230|4.4|8|2.04|66|115|208|920.0
202405|ADM|27|11170|42110000|경기|서초구|서초동|4511000000|서초1동|2|40|1|1|5|682|347|347|668|38207|4050.0|2572.0|922.0|556.0|3293|2547|904|1405350.0|892484.0|319934.0|192932.0|1190493|572455|857081|454433|43|198|91|5|7024575|5596960|3108506|944740|5.19|45|2.86|134|210|494|9450.0
202405|CNTY_GU|46|45110|41110000|인천|강남구|역삼동|4111000000|서초1동|2|60|3|1|4|1836|163|163|863|16856|43126.0|22544.0|5571.0|15011.0|38205|18439|5085|7029538.0|3674672.0|908073.0|2446793.0|2241309|2910869|484389|261553|33|69|47|15|7071819|1841560|2667842|1664997|2.5|11|1.87|96|279|123|3069.0
202405|ADM|44|28110|44130000|서울|강남구|역삼동|2611000000|인계동|1|25|1|1|2|511|197|197|441|88521|10577.0|3774.0|3504.0|3299.0|8551|3260|2694|2083669.0|743478.0|690288.0|649903.0|4006490|473215|464048|397966|57|101|47|1|2281869|15362472|2649178|219255|5.0|5|1.85|91|70|188|350.0
202405|ADM|44|28110|11140000|경기|강남구|역삼동|4113000000|역삼1가|1|50|2|1|5|834|174|174|727|71861|26871.0|17713.0|7379.0|1779.0|21957|15717|6188|4675554.0|3082062.0|1283946.0|309546.0|3726064|2873476|300317|498586|43|86|40|0|4194899|10940445|3529013|254381|2.66|16|4.27|155|37|8|592.0
202405|CNTY_GU|43|28110|42110000|대구|성남시|역삼동|1114000000|역삼1가|1|50|3|2|8|559|85|85|516|58469|5160.0|4066.0|1396.0|0.0|4805|3585|1069|438600.0|345610.0|118660.0|0.0|3399113|511786|925510|407604|23|46|17|6|4275370|5391010|289950|1109023|3.59|2|4.23|172|140|341|280.0
202405|ADM|42|41110|41150000|서울|수원시|서초동|1117000000|인계동|1|60|2|1|3|130|360|360|678|51691|48288.0|32175.0|8624.0|7489.0|44758|23922|6931|17383680.0|11583000.0|3104640.0|2696040.0|1049472|799817|406497|69248|89|203|66|0|6264833|2125311|59572|815860|6.46|19|1.87|162|230|98|4370.0
202405|CNTY_GU|41|26140|41150000|경기|서초구|인계동|4511000000|역삼1가|2|25|2|1|7|1891|1|1|847|80155|31897.0|23125.0|3408.0|5364.0|31122|17441|3342|31897.0|23125.0|3408.0|5364.0|1257093|2416331|147480|212795|0|0|0|0|1356412|12152947|4538528|30238|7.8|0|2.98|128|0|48|0.0
202405|ADM|11|41110|27110000|대구|성남시|서초동|2611000000|역삼1가|2|50|0|1|3|629|235|235|529|69890|38694.0|19325.0|8357.0|11012.0|31755|14806|6131|9093090.0|4541375.0|1963895.0|2587820.0|2967818|1027642|570861|106051|40|110|27|0|4779413|10595587|941688|319398|6.63|30|2.13|135|73|69|2190.0
202405|CNTY_GU|26|41130|47110000|대구|서초구|인계동|2711000000|역삼1가|2|25|2|2|4|1382|304|304|409|42540|23136.0|16637.0|7485.0|0.0|23014|15272|5748|7033344.0|5057648.0|2275440.0|0.0|4465346|2081363|36509|231719|66|124|59|26|46809|6123851|795152|1390072|3.86|3|4.49|133|492|446|1476.0
202405|PRVNC|45|11170|44130000|인천|서초구|역삼동|2711000000|서초1동|2|40|0|1|7|1005|313|313|453|94360|29893.0|20971.0|10125.0|0.0|23499|17789|8108|9356509.0|6563923.0|3169125.0|0.0|3788053|1561223|419135|362705|91|154|80|2|9125399|19086878|3543935|1055537|3.55|17|3.91|166|194|384|3298.0
