기준년월|구분명|광역시도코드|시군구코드(개정후)|행정구역분류코드(개정후)|광역시도명|시군구명(개정후)|행정구역분류명(개정후)|법정동코드|법정동명|성별|연령구간대|직업 구분|분위코드(연소득기준)|최저 연소득 금액|최대 연소득 금액|거주자수|평균 연소득 금액|중위 연소득 금액|총연소득합계
202411|CNTY_GU|46|47110|43110000|인천|수원시|인계동|4311000000|역삼1가|1|30|0|6|299|10556|725|4754.0|3757|3446650
202411|CNTY_GU|11|11110|41110000|경기|수원시|서초동|1111000000|서초1동|1|60|0|7|957|41653|550|2485.0|2472|1366750
202411|CNTY_GU|41|11140|28110000|경기|수원시|서초동|4311000000|인계동|2|70|0|2|570|18488|108|4205.0|3063|454140
202411|ADM|26|47110|11170000|서울|강남구|서초동|4211000000|서초1동|1|50|0|9|414|9997|615|3900.0|2846|2398500
202411|ADM|47|11170|11170000|부산|강남구|역삼동|4111000000|인계동|1|50|2|6|141|14314|539|5304.0|5172|2858856
202411|ADM|47|45110|11170000|대구|수원시|서초동|4511000000|역삼1가|2|50|3|2|70|28894|510|3108.0|2713|1585080
202411|PRVNC|46|11110|26140000|대구|수원시|서초동|2614000000|인계동|2|30|0|10|17|10062|175|2894.0|2216|506450
202411|ADM|45|41130|47110000|인천|수원시|서초동|1114000000|서초1동|2|55|1|2|606|47409|674|1372.0|1168|924728
202411|ADM|11|47110|11170000|인천|수원시|역삼동|4111000000|역삼1가|1|35|2|4|103|17254|717|6415.0|5896|4599555
202411|CNTY_GU|27|46110|27110000|부산|성남시|역삼동|1120000000|서초1동|2|70|0|4|924|29543|405|7589.0|6367|3073545
202411|CNTY_GU|44|41150|11170000|부산|수원시|역삼동|4413000000|역삼1가|2|35|3|9|513|37623|439|2430.0|2308|1066770
202411|CNTY_GU|11|11200|47110000|대구|강남구|역삼동|1114000000|서초1동|2|70|1|6|636|47840|502|5774.0|4497|2898548
202411|ADM|47|41150|27110000|경기|강남구|역삼동|4413000000|인계동|1|40|1|10|938|29669|136|7790.0|5651|1059440
202411|ADM|11|11110|11170000|대구|성남시|역삼동|4211000000|인계동|2|40|2|10|210|27153|470|6087.0|5450|2860890
202411|ADM|43|26140|41130000|서울|수원시|인계동|2811000000|역삼1가|1|40|0|5|440|20764|605|4556.0|3907|2756380
202411|PRVNC|42|43110|28110000|서울|강남구|서초동|2811000000|인계동|2|50|0|6|244|44326|608|1850.0|1352|1124800
202411|CNTY_GU|46|41150|11200000|부산|서초구|서초동|2614000000|역삼1가|1|50|0|3|688|12184|653|1378.0|1195|899834
202411|CNTY_GU|46|11140|11200000|인천|서초구|역삼동|4115000000|서초1동|2|40|3|4|859|12107|23|3146.0|2715|72358
202411|PRVNC|41|46110|41110000|대구|수원시|인계동|1120000000|인계동|2|60|1|3|575|20467|22|4897.0|3435|107734
202411|CNTY_GU|46|26110|27110000|서울|수원시|서초동|2711000000|인계동|1|35|0|8|257|41200|299|4821.0|3646|1441479
202411|ADM|26|41110|46110000|서울|성남시|역삼동|4111000000|서초1동|2|35|0|5|405|22309|3|2896.0|2498|8688
202411|ADM|27|41110|41130000|경기|서초구|인계동|4111000000|역삼1가|1|65|0|2|960|9127|195|3728.0|3663|726960
202411|CNTY_GU|11|47110|47110000|서울|서초구|인계동|2811000000|역삼1가|2|30|0|5|388|38821|276|7142.0|6156|1971192
202411|CNTY_GU|43|11170|44130000|부산|서초구|역삼동|1111000000|인계동|1|20|0|10|751|27723|292|7592.0|5455|2216864
202411|ADM|27|11170|41110000|경기|수원시|서초동|1120000000|인계동|1|60|0|6|805|49963|540|2461.0|1731|1328940
202411|ADM|26|26110|26140000|서울|성남시|서초동|2811000000|인계동|1|20|3|10|822|8629|597|6412.0|6025|3827964
202411|CNTY_GU|27|41130|43110000|인천|성남시|서초동|4115000000|인계동|2|40|0|5|337|38140|277|5600.0|4069|1551200
202411|CNTY_GU|46|26140|41150000|부산|강남구|역삼동|1114000000|인계동|1|50|0|9|443|39093|794|3677.0|2819|2919538
202411|ADM|44|11170|11170000|인천|수원시|서초동|4511000000|역삼1가|1|55|3|7|557|30906|144|7294.0|6547|1050336
202411|ADM|46|11110|26110000|부산|수원시|역삼동|2614000000|인계동|1|40|0|2|870|17880|617|0.0|0|0
202411|ADM|11|11110|26110000|서울|성남시|인계동|4413000000|역삼1가|2|55|2|5|356|38253|115|5765.0|4315|662975
202411|ADM|41|41110|41150000|경기|서초구|서초동|4511000000|역삼1가|1|50|2|1|66|12698|181|5440.0|4579|984640
202411|ADM|45|41110|11170000|부산|강남구|서초동|4113000000|인계동|2|70|3|7|294|45050|682|5464.0|4933|3726448
202411|PRVNC|41|42110|28110000|경기|수원시|서초동|4115000000|역삼1가|2|65|2|2|862|33586|106|7555.0|5416|800830
202411|PRVNC|47|44130|45110000|대구|성남시|서초동|2614000000|인계동|1|50|2|4|665|34723|673|3461.0|2862|2329253
202411|ADM|45|11110|11110000|대구|서초구|인계동|2611000000|인계동|1|50|1|7|88|20282|146|4044.0|3322|590424
202411|CNTY_GU|47|42110|26110000|경기|서초구|역삼동|2614000000|서초1동|1|35|1|9|922|45166|231|7756.0|5882|1791636
202411|ADM|46|28110|11140000|부산|성남시|서초동|4111000000|인계동|2|20|0|3|644|44543|155|5563.0|4070|862265
202411|CNTY_GU|46|27110|45110000|부산|수원시|역삼동|2811000000|역삼1가|1|70|0|5|109|23277|87|6954.0|6930|604998
202411|ADM|46|26110|27110000|인천|서초구|역삼동|4111000000|역삼1가|2|20|0|9|390|13410|604|7449.0|5843|4499196
202411|CNTY_GU|46|47110|11140000|인천|강남구|인계동|4311000000|역삼1가|1|40|2|2|45|29082|342|5397.0|4982|1845774
202411|ADM|26|26140|44130000|경기|강남구|인계동|4311000000|서초1동|2|70|0|10|880|35466|3|7209.0|5984|21627
202411|CNTY_GU|42|41150|11200000|서울|강남구|역삼동|2711000000|인계동|1|25|0|10|710|30001|4|7587.0|6677|30348
202411|PRVNC|44|44130|44130000|서울|서초구|서초동|1114000000|서초1동|2|45|0|6|135|43424|586|5770.0|4341|3381220
202411|ADM|45|43110|26140000|경기|서초구|서초동|2811000000|역삼1가|1|55|3|9|139|33365|472|2051.0|1725|968072
202411|CNTY_GU|41|41130|44130000|대구|성남시|역삼동|4611000000|역삼1가|1|55|2|5|418|10185|74|7479.0|7277|553446
202411|ADM|47|11140|43110000|경기|수원시|서초동|4115000000|역삼1가|1|20|3|1|359|35672|767|1712.0|1435|1313104
202411|ADM|27|11200|46110000|대구|서초구|서초동|4711000000|인계동|1|25|1|10|151|21384|365|5443.0|5426|1986695
202411|PRVNC|42|27110|47110000|대구|수원시|서초동|4115000000|역삼1가|1|50|1|2|110|47138|90|1717.0|1521|154530
