기준년월|구분명|광역시도코드|시군구코드(개정후)|행정구역분류코드(개정후)|광역시도명|시군구명(개정후)|행정구역분류명(개정후)|법정동코드|법정동명|성별|연령구간대|직업 구분|분위코드(연소득기준)|최저 연소득 금액|최대 연소득 금액|거주자수|평균 연소득 금액|중위 연소득 금액|총연소득합계
202410|ADM|47|44130|41130000|경기|수원시|역삼동|2614000000|인계동|1|40|1|7|284|39633|78|6484.0|5472|505752
202410|ADM|43|46110|26140000|인천|수원시|서초동|4115000000|서초1동|2|45|3|10|533|12685|567|5387.0|5066|3054429
202410|CNTY_GU|44|26110|43110000|경기|강남구|역삼동|4311000000|역삼1가|1|60|3|8|641|39143|116|2326.0|2185|269816
202410|ADM|27|11170|11140000|대구|서초구|서초동|4311000000|서초1동|1|50|1|2|391|16039|682|7021.0|6645|4788322
202410|CNTY_GU|43|43110|27110000|대구|성남시|역삼동|4511000000|역삼1가|2|55|0|10|929|34101|491|5485.0|4247|2693135
202410|ADM|44|43110|28110000|서울|성남시|서초동|4711000000|서초1동|2|70|2|7|233|11734|668|7649.0|7497|5109532
202410|CNTY_GU|11|26140|26140000|부산|강남구|인계동|1114000000|인계동|1|60|0|4|524|29569|4|7339.0|7210|29356
202410|ADM|27|26140|41110000|인천|수원시|역삼동|4115000000|역삼1가|1|70|0|2|893|34274|510|1964.0|1547|1001640
202410|ADM|27|26110|44130000|인천|서초구|인계동|1111000000|역삼1가|2|40|0|7|647|8877|61|1081.0|888|65941
202410|ADM|45|26110|41110000|부산|강남구|인계동|1117000000|서초1동|2|40|1|4|154|27106|86|1745.0|1651|150070
202410|CNTY_GU|45|47110|28110000|서울|서초구|역삼동|2614000000|서초1동|1|20|0|8|260|31317|675|2920.0|2363|1971000
202410|PRVNC|46|11170|42110000|부산|수원시|역삼동|4311000000|인계동|2|35|0|4|864|8841|50|4559.0|3660|227950
202410|CNTY_GU|41|45110|26110000|서울|강남구|역삼동|4611000000|인계동|2|45|0|8|957|39899|660|4959.0|4343|3272940
202410|CNTY_GU|27|41150|45110000|인천|강남구|서초동|4711000000|인계동|2|25|1|7|167|11556|641|3824.0|3635|2451184
202410|ADM|41|45110|27110000|부산|수원시|인계동|4413000000|역삼1가|2|50|1|6|705|7904|344|3694.0|2794|1270736
202410|ADM|47|41130|11170000|경기|성남시|서초동|2711000000|인계동|1|35|0|9|811|29325|269|3338.0|3162|897922
202410|CNTY_GU|47|41150|41110000|대구|수원시|역삼동|4115000000|역삼1가|1|40|0|8|74|16460|619|2119.0|1993|1311661
202410|CNTY_GU|43|42110|43110000|경기|강남구|인계동|1111000000|역삼1가|1|35|3|3|95|18093|144|3561.0|3490|512784
202410|ADM|26|41110|42110000|부산|성남시|인계동|4611000000|서초1동|2|60|1|9|563|39261|725|4234.0|3186|3069650
202410|ADM|41|47110|47110000|대구|성남시|역삼동|4211000000|서초1동|1|50|3|4|106|25084|18|3667.0|3319|66006
202410|CNTY_GU|11|11140|41150000|부산|강남구|인계동|4115000000|역삼1가|1|50|1|2|647|34828|210|1841.0|1691|386610
202410|ADM|46|11140|28110000|경기|서초구|역삼동|1120000000|서초1동|2|55|0|6|989|20036|541|5691.0|4036|3078831
202410|ADM|41|47110|11140000|경기|성남시|서초동|4111000000|인계동|2|60|2|1|397|38686|353|2726.0|2143|962278
202410|ADM|43|27110|26140000|경기|수원시|인계동|1111000000|서초1동|2|25|0|10|847|46940|733|5261.0|5094|3856313
202410|PRVNC|43|26110|11200000|인천|강남구|서초동|2614000000|서초1동|1|45|1|1|521|9803|610|1393.0|1057|849730
202410|CNTY_GU|41|27110|11200000|서울|서초구|역삼동|1114000000|서초1동|1|30|1|1|9|30392|623|3499.0|3442|2179877
