가구ID,연령그룹,총소득,순자산,부동산편중도,D_Value,LTI,이상치_플래그,페르소나_후보,자산분위_내부,소득분위_내부,고령층유형
10000162,후기고령자(75+),1534,5700,0.0,0.5606258144976364,0.13402083320042216,False,일반,1,2,C유형_기타일반가구
10000352,전기고령자(65-74),578,32050,0.8736349453978159,1.4532871947174961,0.668943002138898,False,일반,3,1,C유형_기타일반가구
10000362,후기고령자(75+),1576,6300,0.0,0.6598984767386431,0.14179166652515998,False,일반,1,2,A유형_구조적취약층
10100182,전기고령자(65-74),1447,104070,0.912847122129336,0.34899792650380235,0.6922473518993557,False,일반,5,2,C유형_기타일반가구
10100382,전기고령자(65-74),2454,16660,0.0,0.4686226566957528,0.14922370717395486,False,일반,1,3,C유형_기타일반가구
10101182,전기고령자(65-74),5760,219288,0.5901365485183033,0.368055555491657,0.5777124837512871,False,일반,5,5,D유형_여유자산가층
10200172,후기고령자(75+),1103,36333,0.9815949791103012,0.3263825926324727,0.7274705804325101,False,자산부유-현금빈곤,4,1,B유형_자산소득불일치
10200312,전기고령자(65-74),6022,96100,0.501432664756447,0.24908668212403076,0.5414538040207568,False,일반,4,5,D유형_여유자산가층
10200362,후기고령자(75+),2712,141250,0.9983361064891847,0.5328171089480763,0.7348798943697217,False,일반,5,3,D유형_여유자산가층
10301132,전기고령자(65-74),1066,35810,0.8377548170901983,0.7504690424479652,0.670142073424536,False,일반,3,1,C유형_기타일반가구
10301172,후기고령자(75+),3268,232792,0.2931421488157057,0.5507955934667088,0.4851495261049328,False,일반,4,3,D유형_여유자산가층
10900161,후기고령자(75+),12480,144700,0.967519004837595,0.04807692307307076,0.6665511746306662,False,일반,5,5,D유형_여유자산가층
10900331,전기고령자(65-74),1388,14900,0.8389261744966443,0.4827089333698062,0.6662637414555445,False,일반,3,2,C유형_기타일반가구
11000162,후기고령자(75+),940,86100,0.6968641114982579,0.8936170203259394,0.6215880132496703,False,자산부유-현금빈곤,4,1,B유형_자산소득불일치
11000192,전기고령자(65-74),9451,395475,0.2363177399430689,0.205269283651966,0.4425537296280958,False,일반,5,5,D유형_여유자산가층
11000342,전기고령자(65-74),3242,84940,0.49446668236402164,0.3300431831184321,0.46658734470044216,False,일반,4,3,D유형_여유자산가층
11000352,전기고령자(65-74),16743,287180,0.0,0.1791793585271947,0.15474687816432536,False,일반,1,5,C유형_기타일반가구
11000362,후기고령자(75+),1297,1642,0.0,0.5134926750088722,0.13648958319778196,False,일반,1,2,C유형_기타일반가구
11000392,전기고령자(65-74),6288,87755,0.9686057774485785,0.2067430025116503,0.7151877104638789,False,일반,5,5,D유형_여유자산가층
11100162,후기고령자(75+),2369,83448,0.995943792553962,0.6753904598246558,0.7352309565985549,False,일반,5,3,D유형_여유자산가층
11100182,후기고령자(75+),3515,90850,0.8805723720418271,0.22759601700495136,0.6600389809560007,False,일반,5,4,D유형_여유자산가층
11100332,후기고령자(75+),10868,68771,0.7568972259716669,0.24843577472870484,0.5903643916153104,False,일반,4,5,D유형_여유자산가층
11200142,후기고령자(75+),1100,670,0.0,0.2045454543595041,0.1385416665289207,False,일반,1,1,A유형_구조적취약층
11200152,후기고령자(75+),1005,150,0.0,0.30845771113586296,0.13953124986119575,False,일반,1,1,A유형_구조적취약층
11200322,후기고령자(75+),1855,75300,0.9163346613545816,0.38814016151582736,0.6804808452719984,False,일반,4,2,C유형_기타일반가구
11900151,후기고령자(75+),626,8136,0.0,0.3354632582500587,0.1803528001513613,False,일반,1,1,A유형_구조적취약층
