기준연월|공휴일구분코드|가맹점행정구역분류시도코드|가맹점행정구역분류시군구코드|가맹점행정구역분류코드|가맹점법정동코드|가맹점행정구역분류시도명|가맹점행정구역분류시군구명|가맹점행정구역분류명|가맹점법정동명|통합카드업종3레벨코드|통합카드업종3레벨명|조직구분코드|통합카드성별코드|통합카드5세단위연령코드|통합카드직업코드|고객행정구역분류시도코드|고객행정구역분류시군구코드|고객행정구역분류코드|고객법정동코드|고객행정구역분류시도명|고객행정구역분류시군구명|고객행정구역분류명|고객법정동명|통합카드혼인구분코드|통합카드가구형태코드|카드사용건수|카드사용금액|1인당평균사용금액
202410|H|44|26140|46110000|2811000000|서울특별시|중구|홍대|명동1가|FF0101|카페|1|1|13|6|43|26110|45110000|4211000000|서울|서초구|역삼동|서초1동|1|x|18|2629261|146070
202410|W|44|41130|45110000|1120000000|서울특별시|용산구|강남|역삼동|KK0101|한식|1|x|15|5|41|11200|27110000|4611000000|인천|수원시|인계동|역삼1동|1|5|292|3018797|10338
202410|H|44|28110|11200000|1111000000|서울특별시|용산구|강남|역삼동|JJ0101|카페|1|1|11|7|46|11140|26110000|1114000000|경기|성남시|역삼동|서초1동|1|4|80|2140733|26759
202410|W|43|43110|11110000|4111000000|서울특별시|성동구|명동|서교동|JJ0101|카페|1|x|14|6|47|41130|26110000|4311000000|부산|서초구|서초동|서초1동|2|2|29|3380627|116573
202410|H|46|41150|47110000|2611000000|서울특별시|종로구|홍대|서교동|LL0101|마트|1|2|15|4|44|42110|41110000|4113000000|대구|성남시|인계동|역삼1동|1|5|88|2439146|27717
202410|W|44|45110|41150000|4311000000|서울특별시|용산구|강남|서교동|LL0102|마트|1|2|14|9|26|11200|43110000|1120000000|대구|성남시|역삼동|서초1동|2|5|175|1231099|7034
202410|W|41|46110|27110000|4711000000|서울특별시|성동구|신촌|명동1가|GG0201|병원|1|1|13|1|41|41150|26110000|4115000000|서울|강남구|인계동|역삼1동|1|4|272|3415543|12557
202410|W|27|11110|41150000|4113000000|서울특별시|중구|신촌|서교동|HH0101|한식|1|x|14|3|47|27110|43110000|1114000000|부산|서초구|인계동|서초1동|2|5|30|1458923|48630
202410|H|11|27110|11200000|2611000000|서울특별시|중구|강남|명동1가|FF0201|병원|1|1|14|10|47|41150|11200000|2614000000|부산|강남구|서초동|역삼1동|1|5|179|4751414|26544
202410|W|26|28110|45110000|1111000000|서울특별시|중구|홍대|명동1가|GG0201|마트|1|1|13|7|41|11110|26110000|2614000000|인천|수원시|서초동|역삼1동|1|5|87|3472808|39917
202410|W|46|26110|42110000|4711000000|서울특별시|종로구|강남|역삼동|LL0301|마트|1|1|14|8|41|44130|41130000|1120000000|인천|성남시|인계동|역삼1동|2|1|255|405437|1589
202410|W|45|42110|41130000|2711000000|서울특별시|성동구|강남|역삼동|GG0101|카페|1|1|13|7|44|11110|42110000|4113000000|서울|성남시|인계동|서초1동|1|5|6|4468523|744753
202410|W|45|11110|11140000|1114000000|서울특별시|성동구|명동|명동1가|FF0101|약국|1|x|15|10|27|47110|47110000|4413000000|부산|강남구|역삼동|역삼1동|1|5|120|336273|2802
202410|W|42|45110|45110000|2811000000|서울특별시|성동구|신촌|서교동|LL0301|한식|1|1|15|6|43|47110|11140000|4211000000|대구|강남구|인계동|역삼1동|1|3|281|3341481|11891
