기준연월|공휴일구분코드|가맹점행정구역분류시도코드|가맹점행정구역분류시군구코드|가맹점행정구역분류코드|가맹점법정동코드|가맹점행정구역분류시도명|가맹점행정구역분류시군구명|가맹점행정구역분류명|가맹점법정동명|통합카드업종3레벨코드|통합카드업종3레벨명|조직구분코드|통합카드성별코드|통합카드5세단위연령코드|통합카드직업코드|고객행정구역분류시도코드|고객행정구역분류시군구코드|고객행정구역분류코드|고객법정동코드|고객행정구역분류시도명|고객행정구역분류시군구명|고객행정구역분류명|고객법정동명|통합카드혼인구분코드|통합카드가구형태코드|카드사용건수|카드사용금액|1인당평균사용금액
202403|W|42|27110|45110000|4711000000|서울특별시|용산구|명동|명동1가|LL0102|마트|2|2|12|1|27|28110|41110000|2614000000|부산|성남시|인계동|서초1동|2|1|289|4774838|16521
202403|H|11|41110|26140000|4211000000|서울특별시|중구|명동|서교동|FF0101|한식|1|2|14|9|41|26140|41110000|4711000000|인천|강남구|서초동|서초1동|1|5|171|3027182|17702
202403|H|44|44130|26110000|2711000000|서울특별시|용산구|홍대|서교동|HH0101|한식|1|x|15|10|47|42110|28110000|4711000000|대구|성남시|서초동|서초1동|1|5|196|555781|2835
202403|W|26|26110|26110000|2811000000|서울특별시|종로구|홍대|명동1가|LL0101|병원|1|2|12|10|26|43110|11140000|2614000000|서울|성남시|서초동|서초1동|1|x|129|1765871|13688
202403|W|41|41110|26110000|4211000000|서울특별시|용산구|홍대|서교동|KK0101|마트|1|1|14|10|45|44130|41130000|1111000000|부산|강남구|인계동|역삼1동|1|2|93|3171432|34101
202403|W|11|11110|11110000|2611000000|서울특별시|성동구|신촌|역삼동|JJ0101|병원|1|2|13|6|46|26110|26140000|4111000000|대구|수원시|역삼동|역삼1동|1|5|240|1735638|7231
202403|W|43|11140|45110000|1111000000|서울특별시|중구|명동|역삼동|LL0102|카페|1|2|11|10|43|11110|26140000|4211000000|서울|강남구|인계동|서초1동|1|3|276|1323675|4795
202403|W|43|45110|43110000|4115000000|서울특별시|중구|신촌|명동1가|GG0102|카페|1|1|13|10|42|11200|11140000|2614000000|경기|수원시|서초동|서초1동|1|1|262|3616087|13801
202403|W|44|44130|11140000|4211000000|서울특별시|성동구|신촌|역삼동|FF0101|한식|1|2|11|8|47|41110|44130000|4211000000|경기|강남구|서초동|서초1동|1|4|222|4584364|20650
202403|W|42|28110|44130000|4113000000|서울특별시|종로구|신촌|명동1가|FF0102|마트|1|1|12|6|45|45110|26140000|4311000000|인천|수원시|서초동|서초1동|2|2|97|1074583|11078
