기준연월|공휴일구분코드|가맹점행정구역분류시도코드|가맹점행정구역분류시군구코드|가맹점행정구역분류코드|가맹점법정동코드|가맹점행정구역분류시도명|가맹점행정구역분류시군구명|가맹점행정구역분류명|가맹점법정동명|통합카드업종3레벨코드|통합카드업종3레벨명|조직구분코드|통합카드성별코드|통합카드5세단위연령코드|통합카드직업코드|고객행정구역분류시도코드|고객행정구역분류시군구코드|고객행정구역분류코드|고객법정동코드|고객행정구역분류시도명|고객행정구역분류시군구명|고객행정구역분류명|고객법정동명|통합카드혼인구분코드|통합카드가구형태코드|카드사용건수|카드사용금액|1인당평균사용금액
202402|W|47|41130|45110000|2811000000|서울특별시|종로구|홍대|명동1가|JJ0101|마트|1|2|12|6|46|11200|47110000|4711000000|부산|성남시|서초동|서초1동|1|x|17|4551207|267718
202402|H|26|43110|26140000|1117000000|서울특별시|중구|신촌|명동1가|GG0101|마트|1|1|15|9|42|11140|47110000|4511000000|인천|서초구|역삼동|역삼1동|1|x|82|1962182|23929
202402|W|47|41130|26140000|4413000000|서울특별시|성동구|홍대|역삼동|KK0101|카페|1|1|11|10|11|45110|27110000|2711000000|인천|수원시|역삼동|서초1동|1|5|134|2765122|20635
202402|W|45|28110|42110000|4311000000|서울특별시|종로구|강남|서교동|II0101|카페|2|2|12|1|26|41110|47110000|4611000000|대구|강남구|인계동|서초1동|1|3|44|2241263|50937
202402|W|44|43110|44130000|2711000000|서울특별시|중구|강남|서교동|HH0101|약국|1|1|11|7|46|11140|11140000|4113000000|부산|수원시|역삼동|역삼1동|2|5|233|1764384|7572
202402|W|43|26140|45110000|1117000000|서울특별시|용산구|홍대|서교동|LL0102|카페|1|1|14|5|47|27110|46110000|4511000000|서울|성남시|인계동|역삼1동|1|5|107|4587184|42870
202402|W|42|11170|41150000|4113000000|서울특별시|중구|명동|서교동|JJ0101|병원|1|x|14|8|27|11110|28110000|4413000000|서울|강남구|인계동|서초1동|x|1|247|1301613|5269
202402|H|11|45110|26110000|4413000000|서울특별시|성동구|홍대|서교동|LL0102|한식|1|2|14|6|27|11200|26140000|2611000000|인천|서초구|인계동|역삼1동|2|x|289|4217460|14593
202402|W|45|43110|26110000|1111000000|서울특별시|종로구|강남|서교동|FF0201|약국|1|1|15|3|27|11170|11140000|4511000000|경기|수원시|서초동|서초1동|2|4|29|3055761|105371
202402|W|42|43110|43110000|4111000000|서울특별시|용산구|신촌|역삼동|GG0102|한식|1|1|14|3|47|46110|41150000|4711000000|인천|수원시|인계동|역삼1동|2|5|87|3264399|37521
202402|W|41|46110|45110000|2614000000|서울특별시|중구|신촌|명동1가|FF0201|한식|1|1|14|7|11|27110|11140000|4111000000|인천|서초구|서초동|역삼1동|1|5|183|1391118|7601
