기준연월|공휴일구분코드|가맹점행정구역분류시도코드|가맹점행정구역분류시군구코드|가맹점행정구역분류코드|가맹점법정동코드|가맹점행정구역분류시도명|가맹점행정구역분류시군구명|가맹점행정구역분류명|가맹점법정동명|통합카드업종3레벨코드|통합카드업종3레벨명|조직구분코드|통합카드성별코드|통합카드5세단위연령코드|통합카드직업코드|고객행정구역분류시도코드|고객행정구역분류시군구코드|고객행정구역분류코드|고객법정동코드|고객행정구역분류시도명|고객행정구역분류시군구명|고객행정구역분류명|고객법정동명|통합카드혼인구분코드|통합카드가구형태코드|카드사용건수|카드사용금액|1인당평균사용금액
202408|H|11|43110|44130000|4413000000|서울특별시|중구|신촌|서교동|LL0301|병원|1|1|14|5|47|41110|11140000|4113000000|대구|수원시|서초동|역삼1동|1|5|61|2081420|34121
202408|W|42|11170|41110000|1111000000|서울특별시|성동구|홍대|명동1가|KK0101|한식|1|2|10|7|27|41150|28110000|1114000000|대구|강남구|역삼동|역삼1동|2|5|254|1293376|5092
202408|W|46|42110|41110000|2811000000|서울특별시|중구|명동|명동1가|LL0301|카페|1|x|14|9|47|42110|44130000|4413000000|경기|성남시|서초동|서초1동|1|5|215|1824499|8486
202408|W|42|44130|41110000|1117000000|서울특별시|용산구|강남|역삼동|LL0301|한식|1|1|14|3|26|26140|47110000|4111000000|부산|수원시|인계동|역삼1동|2|x|39|3377815|86610
202408|W|46|26110|11170000|1117000000|서울특별시|용산구|강남|명동1가|GG0201|약국|1|1|13|6|27|41130|41130000|2711000000|인천|서초구|인계동|서초1동|1|1|146|1691234|11583
202408|W|43|27110|11200000|2614000000|서울특별시|중구|신촌|서교동|KK0101|병원|1|2|14|3|11|41150|27110000|4611000000|경기|강남구|서초동|역삼1동|2|4|66|806687|12222
202408|W|26|28110|46110000|4115000000|서울특별시|용산구|강남|서교동|JJ0101|카페|1|1|14|10|27|11140|41130000|2611000000|인천|강남구|역삼동|역삼1동|2|5|55|2306951|41944
202408|W|47|42110|26110000|4311000000|서울특별시|중구|신촌|역삼동|GG0101|병원|1|2|14|8|42|45110|11110000|1111000000|대구|강남구|역삼동|서초1동|2|5|16|759611|47475
202408|W|47|11110|26140000|4711000000|서울특별시|중구|신촌|서교동|GG0102|약국|1|2|15|2|46|41150|26110000|1114000000|대구|강남구|역삼동|역삼1동|2|5|25|1566171|62646
202408|W|46|26110|46110000|4111000000|서울특별시|용산구|신촌|역삼동|FF0201|마트|1|2|13|9|47|42110|45110000|4311000000|서울|서초구|인계동|역삼1동|1|x|177|1254420|7087
